account_id,customer_id,account_number,account_type,ifsc_code,balance,currency,status,created_at,updated_at
1,3,50000000000001,SAVINGS,HDFC0001234,25000.75,INR,ACTIVE,2022-01-16 10:30:00,2025-10-07 04:31:59
2,4,50000000000002,CURRENT,SBI0005678,78000.0,INR,ACTIVE,2021-05-21 14:50:00,2025-10-07 04:31:59
3,5,50000000000003,SAVINGS,ICIC0004321,12000.5,INR,ACTIVE,2023-07-02 09:10:00,2025-10-07 04:31:59
4,6,50000000000004,CURRENT,PNB0008765,45000.0,INR,ACTIVE,2022-08-12 16:20:00,2025-10-07 04:31:59
5,7,50000000000005,SAVINGS,BOI0002345,1500.0,INR,ACTIVE,2020-03-09 11:45:00,2025-10-07 04:31:59
6,8,50000000000006,CURRENT,AXIS0009876,89000.25,INR,ACTIVE,2024-04-15 19:00:00,2025-10-07 04:31:59
7,9,50000000000007,SAVINGS,HDFC0003344,31000.75,INR,ACTIVE,2023-01-26 09:30:00,2025-10-07 04:31:59
8,10,50000000000008,CURRENT,SBI0005566,50000.0,INR,ACTIVE,2021-10-06 14:10:00,2025-10-07 04:31:59
9,11,50000000000009,SAVINGS,ICIC0006677,27000.5,INR,ACTIVE,2022-11-20 20:25:00,2025-10-07 04:31:59
10,12,50000000000010,CURRENT,PNB0008899,64000.0,INR,ACTIVE,2024-02-23 08:00:00,2025-10-07 04:31:59
11,13,50000000000011,SAVINGS,HDFC0009988,22000.0,INR,ACTIVE,2023-09-19 15:30:00,2025-10-07 04:31:59
12,14,50000000000012,CURRENT,SBI0004455,55000.25,INR,ACTIVE,2020-12-31 10:20:00,2025-10-07 04:31:59
13,15,50000000000013,SAVINGS,ICIC0002233,8000.0,INR,ACTIVE,2021-07-08 19:20:00,2025-10-07 04:31:59
14,16,50000000000014,CURRENT,AXIS0003344,99000.75,INR,ACTIVE,2022-05-14 14:50:00,2025-10-07 04:31:59
15,17,50000000000015,SAVINGS,BOB0007788,4500.0,INR,ACTIVE,2021-03-30 11:40:00,2025-10-07 04:31:59
16,18,50000000000016,CURRENT,HDFC0006655,35000.25,INR,ACTIVE,2024-06-11 16:15:00,2025-10-07 04:31:59
17,19,50000000000017,SAVINGS,SBI0007789,120000.0,INR,ACTIVE,2020-08-18 09:50:00,2025-10-07 04:31:59
18,20,50000000000018,CURRENT,PNB0003345,47500.0,INR,ACTIVE,2022-09-10 18:10:00,2025-10-07 04:31:59
19,21,50000000000019,SAVINGS,ICIC0009987,59000.0,INR,ACTIVE,2023-05-07 12:20:00,2025-10-07 04:31:59
20,22,50000000000020,CURRENT,AXIS0005567,24000.75,INR,ACTIVE,2021-11-24 08:40:00,2025-10-07 04:31:59
21,23,50000000000021,SAVINGS,BOI0001235,17500.25,INR,ACTIVE,2022-03-19 19:25:00,2025-10-07 04:31:59
22,24,50000000000022,CURRENT,HDFC0001122,71500.0,INR,ACTIVE,2023-04-13 13:40:00,2025-10-07 04:31:59
23,25,50000000000023,SAVINGS,SBI0004456,9800.0,INR,ACTIVE,2020-06-22 10:15:00,2025-10-07 04:31:59
24,26,50000000000024,CURRENT,ICIC0007788,32000.5,INR,ACTIVE,2024-01-06 17:00:00,2025-10-07 04:31:59
25,27,50000000000025,SAVINGS,PNB0008890,54000.75,INR,ACTIVE,2021-02-12 11:45:00,2025-10-07 04:31:59
26,28,50000000000026,CURRENT,AXIS0002234,22500.0,INR,ACTIVE,2022-07-28 14:20:00,2025-10-07 04:31:59
27,29,50000000000027,SAVINGS,HDFC0003346,75000.0,INR,ACTIVE,2023-08-20 17:40:00,2025-10-07 04:31:59
28,30,50000000000028,CURRENT,SBI0005567,13500.5,INR,ACTIVE,2024-03-17 08:20:00,2025-10-07 04:31:59
29,31,50000000000029,SAVINGS,ICIC0006678,66000.0,INR,ACTIVE,2020-10-23 19:10:00,2025-10-07 04:31:59
30,32,50000000000030,CURRENT,PNB0008891,8800.0,INR,ACTIVE,2021-06-16 09:25:00,2025-10-07 04:31:59
31,33,50000000000031,SAVINGS,AXIS0003345,30500.75,INR,ACTIVE,2022-04-02 13:50:00,2025-10-07 04:31:59
32,34,50000000000032,CURRENT,HDFC0002235,92000.0,INR,ACTIVE,2024-09-06 08:10:00,2025-10-07 04:31:59
33,35,50000000000033,SAVINGS,SBI0006679,49500.25,INR,ACTIVE,2023-12-22 19:15:00,2025-10-07 04:31:59
34,36,50000000000034,CURRENT,ICIC0009989,15200.0,INR,ACTIVE,2022-02-15 15:35:00,2025-10-07 04:31:59
35,37,50000000000035,SAVINGS,PNB0001123,45500.75,INR,ACTIVE,2021-09-08 12:15:00,2025-10-07 04:31:59
36,38,50000000000036,CURRENT,BOB0004457,68500.0,INR,ACTIVE,2024-05-10 11:30:00,2025-10-07 04:31:59
37,39,50000000000037,SAVINGS,HDFC0006670,37500.25,INR,ACTIVE,2020-07-27 08:55:00,2025-10-07 04:31:59
38,40,50000000000038,CURRENT,SBI0003347,12000.0,INR,ACTIVE,2021-12-13 17:55:00,2025-10-07 04:31:59
39,41,50000000000039,SAVINGS,ICIC0004458,99500.0,INR,ACTIVE,2023-06-19 14:40:00,2025-10-07 04:31:59
40,42,50000000000040,CURRENT,AXIS0002236,6200.0,INR,ACTIVE,2022-10-24 10:05:00,2025-10-07 04:31:59
41,43,50000000000041,SAVINGS,PNB0005568,81200.25,INR,ACTIVE,2021-04-03 16:35:00,2025-10-07 04:31:59
42,44,50000000000042,CURRENT,HDFC0007780,4500.5,INR,ACTIVE,2024-07-14 18:20:00,2025-10-07 04:31:59
43,45,50000000000043,SAVINGS,SBI0008892,26500.0,INR,ACTIVE,2023-03-01 12:00:00,2025-10-07 04:31:59
44,46,50000000000044,CURRENT,ICIC0001124,33500.75,INR,ACTIVE,2020-11-07 13:20:00,2025-10-07 04:31:59
45,47,50000000000045,SAVINGS,AXIS0006671,71000.0,INR,ACTIVE,2021-08-25 07:30:00,2025-10-07 04:31:59
46,48,50000000000046,CURRENT,BOI0004459,29000.25,INR,ACTIVE,2022-05-20 12:50:00,2025-10-07 04:31:59
47,49,50000000000047,SAVINGS,HDFC0002237,63000.0,INR,ACTIVE,2024-03-29 15:40:00,2025-10-07 04:31:59
48,50,50000000000048,CURRENT,SBI0007781,41500.5,INR,ACTIVE,2022-06-15 18:35:00,2025-10-07 04:31:59
49,51,50000000000049,SAVINGS,ICIC0005569,84500.75,INR,ACTIVE,2023-11-10 09:25:00,2025-10-07 04:31:59
50,52,50000000000050,CURRENT,PNB0003348,19500.0,INR,ACTIVE,2021-01-19 20:00:00,2025-10-07 04:31:59
51,1,12345678901234,SAVINGS,HDFC0001234,5000.75,INR,ACTIVE,2025-10-03 16:48:43,2025-10-05 16:17:04
52,2,111122223333,SAVINGS,HDFC0092211,231000.0,INR,ACTIVE,2025-10-05 15:52:44,2025-10-05 16:17:04
53,53,657123423432,SAVINGS,AXIS4563458,56000.0,INR,ACTIVE,2025-11-01 04:04:46,2025-11-01 04:04:46
