Application_ID,Candidate_Name,Gender,Age,City,State,Qualification,Specialization,College_Name,Graduation_Year,Experience_Years,Previous_Company,Applied_Role,Department,Skills,Certification,Expected_Salary_LPA,Current_Salary_LPA,Notice_Period_Days,Application_Date,Interview_Score,Technical_Test_Score,Communication_Score,Status,Work_Mode,Preferred_Location
APP0001,Anya Butala,Male,27,Ahmedabad,Gujarat,B.E.,Computer Science,"Dayal, Walia and Gandhi Institute",2024,0,,Data Scientist,Analytics,Python;Machine Learning;SQL,Scrum Master,12.5,,30,2025-01-16,74.0,66.0,87.0,Pending,Onsite,Jaipur
APP0002,Hansh Bal,Female,24,Gurgaon,Haryana,B.Tech,Software Engineering,Cherian PLC Institute,2024,1,Infosys,Database Administrator,Database,Oracle;SQL Server;Backup,ISTQB,22.3,18.1,45,2025-04-21,60.0,,77.0,Pending,Hybrid,Indore
APP0003,Ahana  Yadav,Male,30,Pune,Maharashtra,B.Tech,Data Science,"Wagle, Barad and Samra Institute",2021,5,Infosys,Business Analyst,Business Intelligence,Excel;SQL;Analytics,CEH,34.2,31.7,45,2025-12-05,,83.0,64.0,Rejected,Onsite,Kochi
APP0004,Urvi Bora,Female,38,Chennai,Tamil Nadu,B.E.,Cloud Computing,Banerjee and Sons Institute,2023,2,,Machine Learning Engineer,AI/ML,Scikit-learn;Python;Deep Learning,AWS Certified,10.5,8.4,30,2025-07-14,64.0,94.0,,Selected,Hybrid,Delhi
APP0005,Alisha Mammen,Female,34,Hyderabad,Telangana,BCA,Software Engineering,Sanghvi Group Institute,2023,1,Tech Mahindra,Data Analyst,Analytics,Python;Pandas;Power BI,Oracle Java,31.2,28.9,30,2025-05-07,,89.0,76.0,Pending,Hybrid,Mumbai
APP0006,Romil Luthra,Male,24,Indore,Madhya Pradesh,MBA,Cyber Security,Dubey-Sachar Institute,2026,0,,Java Developer,Software Development,Java;Spring Boot;MySQL,,23.5,,45,2026-05-13,87.0,,,Selected,Hybrid,Delhi
APP0007,Ritvik Chakraborty,Female,26,Nagpur,Maharashtra,BCA,Computer Science,Sankaran LLC Institute,2024,0,,Business Analyst,Business Intelligence,Excel;SQL;Analytics,,31.2,,45,2025-03-20,76.0,92.0,79.0,Rejected,Remote,Mumbai
APP0008,Kiara Subramanian,Female,38,Bhubaneswar,Odisha,B.E.,Cyber Security,Bhatt-Upadhyay Institute,2015,10,Oracle,Backend Developer,Software Development,Node.js;MongoDB;APIs,,11.4,9.4,60,2025-03-07,65.0,91.0,94.0,Selected,Onsite,Indore
APP0009,Anahita Kota,Male,31,Jaipur,Rajasthan,B.Tech,Data Science,Sen-Koshy Institute,2017,8,HCL,Cloud Engineer,Cloud,AWS;Azure;Linux,Oracle Java,16.4,12.7,15,2025-04-26,,,67.0,Selected,Onsite,Ahmedabad
APP0010,Saanvi Kalita,Female,28,Pune,Maharashtra,M.Sc Data Science,Business Analytics,Dixit PLC Institute,2026,0,,DevOps Engineer,Cloud,Docker;Kubernetes;CI/CD,,30.6,,30,2026-01-06,64.0,,73.0,Selected,Remote,Ahmedabad
