customer_name,age,gender,platform,product_category,product_name,company,quantity,unit_price,gross_amount,discount_amount,netbill,payment_mode,rating_out_of_5
Vivaan Patel,31,Male,Myntra,Electronics,Laptop,Dell,3,35751,107253,23913.24,83339.76,Credit Card,4.4
Ananya Iyer,35,Female,Flipkart,Beauty,Perfume,Fogg,2,1827,3654,961.76,2692.24,Debit Card,4.4
Neha Joshi,40,Female,Myntra,Electronics,Smart Watch,Noise,4,6265,25060,5548.63,19511.37,Net Banking,3.6
Vihaan Gupta,26,Male,Amazon,Beauty,Lipstick,Maybelline,2,888,1776,258.92,1517.08,UPI,4.1
Priya Malhotra,59,Female,Flipkart,Electronics,Laptop,Dell,2,76105,152210,36125.59,116084.41,Cash on Delivery,5.0
Karan Kapoor,28,Male,Flipkart,Beauty,Sunscreen,Neutrogena,3,1177,3531,954.67,2576.33,UPI,3.4
Shubham Mishra,34,Male,Myntra,Home & Kitchen,Mixer Grinder,Philips,3,8353,25059,4477.14,20581.86,Cash on Delivery,5.0
Arjun Mehta,51,Male,Amazon,Home & Kitchen,Mixer Grinder,Philips,1,6169,6169,801.35,5367.65,Debit Card,3.7
Aarav Sharma,34,Male,Myntra,Home & Kitchen,Cookware Set,Hawkins,1,6993,6993,403.83,6589.17,Cash on Delivery,4.8
Pooja Patil,31,Female,Flipkart,Beauty,Perfume,Fogg,1,908,908,160.92,747.08,Net Banking,4.7
Nikhil Bansal,43,Male,Amazon,Electronics,Smartphone,Samsung,3,15249,45747,5196.61,40550.39,Credit Card,3.9
Ananya Iyer,29,Female,Amazon,Beauty,Shampoo,Loreal,2,1341,2682,518.04,2163.96,Cash on Delivery,4.0
Arjun Mehta,19,Male,Amazon,Beauty,Lipstick,Maybelline,1,1993,1993,412.98,1580.02,UPI,4.7
Aditya Verma,30,Male,Myntra,Electronics,Smart Watch,Noise,4,3143,12572,3770.71,8801.29,Credit Card,5.0
Sneha Rao,33,Female,Myntra,Fashion,Dress,Zara,1,5753,5753,1668.56,4084.44,Credit Card,4.5
Karan Kapoor,44,Male,Amazon,Beauty,Sunscreen,Neutrogena,1,682,682,41.32,640.68,Cash on Delivery,3.9
Vivaan Patel,21,Male,Amazon,Beauty,Perfume,Fogg,4,1961,7844,1718.87,6125.13,Credit Card,4.6
Neha Joshi,42,Female,Myntra,Electronics,Laptop,Dell,4,58244,232976,39498.55,193477.45,Credit Card,3.9
Pooja Patil,25,Female,Amazon,Beauty,Perfume,Fogg,4,1596,6384,1697.88,4686.12,UPI,4.1
Neha Joshi,47,Female,Amazon,Home & Kitchen,Cookware Set,Hawkins,4,11657,46628,9224.83,37403.17,Credit Card,4.5
Ananya Iyer,49,Female,Flipkart,Home & Kitchen,Air Fryer,Prestige,3,10877,32631,4359.53,28271.47,Credit Card,5.0
Neha Joshi,59,Female,Myntra,Beauty,Perfume,Fogg,2,699,1398,103.52,1294.48,Debit Card,4.9
Amit Singh,52,Male,Flipkart,Electronics,Bluetooth Speaker,JBL,2,6505,13010,2412.71,10597.29,Cash on Delivery,4.0
Pooja Patil,30,Female,Myntra,Home & Kitchen,Mixer Grinder,Philips,2,6510,13020,3241.22,9778.78,UPI,3.3
